0	1	2
PF00069.25	1	Kinase, 
PF00078.27	0	None
PF07727.14	0	None
PF13976.6	0	None
PF00665.26	0	None
PF07727.14	0	None
PF12274.8	0	None
PF13456.6	0	None
PF07727.14	0	None
PF07727.14	0	None
PF14223.6	0	None
PF05918.11	2	Apoptosis, Cell death, 
PF01657.17	1	Kinase, 
PF01657.17	1	Kinase, 
PF14500.6	0	None
PF07727.14	0	None
PF00069.25	1	Kinase, 
PF07714.17	1	Kinase, 
PF07714.17	1	Kinase, 
PF04928.17	0	None
PF04926.15	0	None
PF00078.27	0	None
PF00349.21	1	Kinase, 
PF00349.21	1	Kinase, 
PF03727.16	1	Kinase, 
PF03727.16	1	Kinase, 
PF14111.6	0	None
PF04928.17	0	None
PF04928.17	0	None
PF04926.15	0	None
PF03727.16	1	Kinase, 
PF03727.16	1	Kinase, 
PF03727.16	1	Kinase, 
PF03727.16	1	Kinase, 
PF00349.21	1	Kinase, 
PF03727.16	1	Kinase, 
PF14226.6	0	None
PF04827.14	0	None
PF07727.14	0	None
PF00078.27	0	None
PF13456.6	0	None
PF03171.20	0	None
PF07727.14	0	None
PF07727.14	0	None
PF04195.12	0	None
PF02309.16	0	None
PF07727.14	0	None
PF14223.6	0	None
PF07727.14	0	None
PF14416.6	0	None
